Compound,Date,Negative,Neutral,Positive,Target,Tweet,Tweets Ago
0.296,Fri Mar 16 22:53:21 +0000 2018,0.896,0.0,0.104,CBS,Stars @JakeMcDorman and Nik Dodani will join the cast in the upcoming revival of Murphy Brown coming to CBS.… https://t.co/JCAx29lo0i,19
0.0,Fri Mar 16 18:15:53 +0000 2018,1.0,0.0,0.0,CBS,"RT @thegoodfight: Go behind the scenes with costume designer @DanLawsonStyle in ""Behind The Style,"" a new weekly video series all about the…",20
0.6996,Fri Mar 23 22:33:52 +0000 2018,0.806,0.0,0.194,CBS,Get ready for some sweet games! Stream #5 Clemson vs #1 Kansas LIVE at 7PM ET and #11 Syracuse vs #2 Duke LIVE at 9… https://t.co/4WstgrKNnW,21
0.4939,Fri Mar 23 22:33:04 +0000 2018,0.686,0.0,0.314,CBS,RT @SEALTeamCBS: In honor of #NationalPuppyDay... 😍 #SEALTeam https://t.co/4mIZPpiRlU,22
0.8997,Fri Mar 23 22:32:48 +0000 2018,0.645,0.0,0.355,CBS,"RT @HawaiiFive0CBS: Nothing like a man and his dog! 😍🐶 Happy #NationalPuppyDay to Eddie, the best pup on the Five-0 Task Force! #H50 https:…",23
0.0,Thu Mar 22 22:10:29 +0000 2018,1.0,0.0,0.0,CBS,Game on! 16 teams left and the race to the finish continues tonight. Stream #11 Loyola-Chicago vs #7 Nevada LIVE at… https://t.co/W374rmzzoC,24
0.7081,Thu Mar 22 20:52:02 +0000 2018,0.623,0.066,0.311,CBS,Save the date! These are season finales you do NOT want to miss. RT if you're excited! https://t.co/UUQoWsPPSh https://t.co/cDl4WmxMtU,25
0.636,Thu Mar 22 00:23:38 +0000 2018,0.802,0.0,0.198,CBS,Congratulations to all of the @CBSDaytime nominees for the #DaytimeEmmys! See the full list of #DaytimeEmmy nominee… https://t.co/ivJVJWvfsf,26
0.0,Wed Mar 21 18:00:01 +0000 2018,1.0,0.0,0.0,CBS,Female Vocalist Of The Year nominee @MarenMorris will show her fans how it’s done when she takes the stage to showc… https://t.co/PITjmAoFT8,27
0.5106,Tue Mar 20 20:00:01 +0000 2018,0.858,0.0,0.142,CBS,The legendary @Reba returns to host the 53rd #ACMawards and she’s proving just how comfortable she is behind the mi… https://t.co/XPXcSPRXqC,28
